pais_residencia,nomprov,ind_empleado,segmento,sexo,age_group,renta
BO,MADRID,N,02 - PARTICULARES,V,4,94299.96
DE,MADRID,N,02 - PARTICULARES,H,3,141913.68
DE,MADRID,N,02 - PARTICULARES,H,4,141913.68
ES,ALAVA,N,01 - TOP,V,5,55271.07
ES,ALAVA,N,02 - PARTICULARES,H,2,97751.52
ES,ALAVA,N,02 - PARTICULARES,H,3,173662.47
ES,ALAVA,N,02 - PARTICULARES,H,4,96967.65
ES,ALAVA,N,02 - PARTICULARES,V,3,164007.12
ES,ALAVA,N,02 - PARTICULARES,V,4,253563.27
ES,ALAVA,N,03 - UNIVERSITARIO,V,3,74453.79
ES,ALBACETE,N,01 - TOP,H,3,77213.22
ES,ALBACETE,N,01 - TOP,H,4,85655.31
ES,ALBACETE,N,01 - TOP,H,5,72443.04
ES,ALBACETE,N,01 - TOP,H,6,63023.55
ES,ALBACETE,N,01 - TOP,V,3,55383.42
ES,ALBACETE,N,01 - TOP,V,4,87731.34
ES,ALBACETE,N,01 - TOP,V,5,94695.27
ES,ALBACETE,N,01 - TOP,V,6,98106.42
ES,ALBACETE,N,02 - PARTICULARES,H,0,77541.39
ES,ALBACETE,N,02 - PARTICULARES,H,1,88682.655
ES,ALBACETE,N,02 - PARTICULARES,H,2,66756.12
ES,ALBACETE,N,02 - PARTICULARES,H,3,77596.77
ES,ALBACETE,N,02 - PARTICULARES,H,4,81657.66
ES,ALBACETE,N,02 - PARTICULARES,H,5,85671.6
ES,ALBACETE,N,02 - PARTICULARES,H,6,89860.08
ES,ALBACETE,N,02 - PARTICULARES,V,0,70524.345
ES,ALBACETE,N,02 - PARTICULARES,V,1,78179.82
ES,ALBACETE,N,02 - PARTICULARES,V,2,75149.28
ES,ALBACETE,N,02 - PARTICULARES,V,3,73582.44
ES,ALBACETE,N,02 - PARTICULARES,V,4,80767.05
ES,ALBACETE,N,02 - PARTICULARES,V,5,84423.84
ES,ALBACETE,N,02 - PARTICULARES,V,6,96607.92
ES,ALBACETE,N,03 - UNIVERSITARIO,H,0,74162.28
ES,ALBACETE,N,03 - UNIVERSITARIO,H,1,75788.73
ES,ALBACETE,N,03 - UNIVERSITARIO,H,2,75395.64
ES,ALBACETE,N,03 - UNIVERSITARIO,H,3,74383.785
ES,ALBACETE,N,03 - UNIVERSITARIO,H,4,75252.24
ES,ALBACETE,N,03 - UNIVERSITARIO,V,0,79198.02
ES,ALBACETE,N,03 - UNIVERSITARIO,V,1,77400.75
ES,ALBACETE,N,03 - UNIVERSITARIO,V,2,75754.95
ES,ALBACETE,N,03 - UNIVERSITARIO,V,3,81202.8
ES,ALBACETE,N,03 - UNIVERSITARIO,V,4,78242.37
ES,ALBACETE,N,03 - UNIVERSITARIO,V,5,77517.96
ES,ALBACETE,N,03 - UNIVERSITARIO,V,6,92992.11
ES,ALICANTE,B,01 - TOP,V,4,115025.79
ES,ALICANTE,B,02 - PARTICULARES,V,4,187320.75
ES,ALICANTE,B,02 - PARTICULARES,V,5,187320.75
ES,ALICANTE,N,01 - TOP,H,0,38209.68
ES,ALICANTE,N,01 - TOP,H,3,60934.83
ES,ALICANTE,N,01 - TOP,H,4,81334.83
ES,ALICANTE,N,01 - TOP,H,5,94848.12
ES,ALICANTE,N,01 - TOP,H,6,79669.68
ES,ALICANTE,N,01 - TOP,V,2,57511.71
ES,ALICANTE,N,01 - TOP,V,3,58118.85
ES,ALICANTE,N,01 - TOP,V,4,80564.16
ES,ALICANTE,N,01 - TOP,V,5,87750.6
ES,ALICANTE,N,01 - TOP,V,6,99764.88
ES,ALICANTE,N,02 - PARTICULARES,H,0,66753.81
ES,ALICANTE,N,02 - PARTICULARES,H,1,62579.94
ES,ALICANTE,N,02 - PARTICULARES,H,2,52626.06
ES,ALICANTE,N,02 - PARTICULARES,H,3,63273.75
ES,ALICANTE,N,02 - PARTICULARES,H,4,69990.33
ES,ALICANTE,N,02 - PARTICULARES,H,5,76899.75
ES,ALICANTE,N,02 - PARTICULARES,H,6,72922.83
ES,ALICANTE,N,02 - PARTICULARES,V,0,62239.5
ES,ALICANTE,N,02 - PARTICULARES,V,1,67002.48
ES,ALICANTE,N,02 - PARTICULARES,V,2,58669.44
ES,ALICANTE,N,02 - PARTICULARES,V,3,59351.01
ES,ALICANTE,N,02 - PARTICULARES,V,4,70092.57
ES,ALICANTE,N,02 - PARTICULARES,V,5,74217.6
ES,ALICANTE,N,02 - PARTICULARES,V,6,78608.25
ES,ALICANTE,N,03 - UNIVERSITARIO,H,0,64289.16
ES,ALICANTE,N,03 - UNIVERSITARIO,H,1,62953.32
ES,ALICANTE,N,03 - UNIVERSITARIO,H,2,62617.59
ES,ALICANTE,N,03 - UNIVERSITARIO,H,3,61617.45
ES,ALICANTE,N,03 - UNIVERSITARIO,H,4,62860.92
ES,ALICANTE,N,03 - UNIVERSITARIO,H,5,200024.7
ES,ALICANTE,N,03 - UNIVERSITARIO,V,0,62299.395
ES,ALICANTE,N,03 - UNIVERSITARIO,V,1,65063.22
ES,ALICANTE,N,03 - UNIVERSITARIO,V,2,66023.61
ES,ALICANTE,N,03 - UNIVERSITARIO,V,3,67970.61
ES,ALICANTE,N,03 - UNIVERSITARIO,V,4,64228.41
ES,ALICANTE,N,03 - UNIVERSITARIO,V,5,84940.89
ES,ALICANTE,N,03 - UNIVERSITARIO,V,6,116018.37
ES,ALMERIA,N,01 - TOP,H,3,74108.07
ES,ALMERIA,N,01 - TOP,H,4,74108.07
ES,ALMERIA,N,01 - TOP,H,5,85047.03
ES,ALMERIA,N,01 - TOP,H,6,93896.43
ES,ALMERIA,N,01 - TOP,V,0,139228.32
ES,ALMERIA,N,01 - TOP,V,3,88062.66
ES,ALMERIA,N,01 - TOP,V,4,80385.45
ES,ALMERIA,N,01 - TOP,V,5,83149.23
ES,ALMERIA,N,01 - TOP,V,6,99426.9
ES,ALMERIA,N,02 - PARTICULARES,H,0,67155.66
ES,ALMERIA,N,02 - PARTICULARES,H,1,76489.14
ES,ALMERIA,N,02 - PARTICULARES,H,2,66544.35
ES,ALMERIA,N,02 - PARTICULARES,H,3,69908.13
ES,ALMERIA,N,02 - PARTICULARES,H,4,74311.77
ES,ALMERIA,N,02 - PARTICULARES,H,5,79961.82
ES,ALMERIA,N,02 - PARTICULARES,H,6,77634.84
ES,ALMERIA,N,02 - PARTICULARES,V,0,76792.32
ES,ALMERIA,N,02 - PARTICULARES,V,1,66824.43
ES,ALMERIA,N,02 - PARTICULARES,V,2,64954.53
ES,ALMERIA,N,02 - PARTICULARES,V,3,67613.7
ES,ALMERIA,N,02 - PARTICULARES,V,4,74029.83
ES,ALMERIA,N,02 - PARTICULARES,V,5,74846.58
ES,ALMERIA,N,02 - PARTICULARES,V,6,82306.29
ES,ALMERIA,N,03 - UNIVERSITARIO,H,0,68417.61
ES,ALMERIA,N,03 - UNIVERSITARIO,H,1,76218.57
ES,ALMERIA,N,03 - UNIVERSITARIO,H,2,63085.53
ES,ALMERIA,N,03 - UNIVERSITARIO,H,3,86906.64
ES,ALMERIA,N,03 - UNIVERSITARIO,H,4,73231.77
ES,ALMERIA,N,03 - UNIVERSITARIO,V,0,69885.33
ES,ALMERIA,N,03 - UNIVERSITARIO,V,1,71466.27
ES,ALMERIA,N,03 - UNIVERSITARIO,V,2,70522.44
ES,ALMERIA,N,03 - UNIVERSITARIO,V,3,66348.12
ES,ALMERIA,N,03 - UNIVERSITARIO,V,4,69885.33
ES,ASTURIAS,A,02 - PARTICULARES,H,3,117979.47
ES,ASTURIAS,A,02 - PARTICULARES,H,4,117979.47
ES,ASTURIAS,B,02 - PARTICULARES,V,4,118093.17
ES,ASTURIAS,B,02 - PARTICULARES,V,5,118093.17
ES,ASTURIAS,F,02 - PARTICULARES,H,4,75683.55
ES,ASTURIAS,N,01 - TOP,H,2,74755.2
ES,ASTURIAS,N,01 - TOP,H,3,104612.4
ES,ASTURIAS,N,01 - TOP,H,4,102206.13
ES,ASTURIAS,N,01 - TOP,H,5,100593.42
ES,ASTURIAS,N,01 - TOP,H,6,109002.135
ES,ASTURIAS,N,01 - TOP,V,0,69902.7
ES,ASTURIAS,N,01 - TOP,V,3,88591.095
ES,ASTURIAS,N,01 - TOP,V,4,97148.58
ES,ASTURIAS,N,01 - TOP,V,5,93215.67
ES,ASTURIAS,N,01 - TOP,V,6,112714.86
ES,ASTURIAS,N,02 - PARTICULARES,H,0,91135.14
ES,ASTURIAS,N,02 - PARTICULARES,H,1,82880.31
ES,ASTURIAS,N,02 - PARTICULARES,H,2,78249.69
ES,ASTURIAS,N,02 - PARTICULARES,H,3,79767.87
ES,ASTURIAS,N,02 - PARTICULARES,H,4,90005.46
ES,ASTURIAS,N,02 - PARTICULARES,H,5,90186.81
ES,ASTURIAS,N,02 - PARTICULARES,H,6,97774.5
ES,ASTURIAS,N,02 - PARTICULARES,V,0,86560.23
ES,ASTURIAS,N,02 - PARTICULARES,V,1,82910.94
ES,ASTURIAS,N,02 - PARTICULARES,V,2,76668.15
ES,ASTURIAS,N,02 - PARTICULARES,V,3,80241.06
ES,ASTURIAS,N,02 - PARTICULARES,V,4,86636.25
ES,ASTURIAS,N,02 - PARTICULARES,V,5,88806.51
ES,ASTURIAS,N,02 - PARTICULARES,V,6,97568.25
ES,ASTURIAS,N,03 - UNIVERSITARIO,H,0,86954.37
ES,ASTURIAS,N,03 - UNIVERSITARIO,H,1,83949.33
ES,ASTURIAS,N,03 - UNIVERSITARIO,H,2,81224.49
ES,ASTURIAS,N,03 - UNIVERSITARIO,H,3,79427.64
ES,ASTURIAS,N,03 - UNIVERSITARIO,H,4,84187.32
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,0,86954.37
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,1,85520.49
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,2,85971.27
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,3,90722.34
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,4,85971.27
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,5,140095.62
ES,ASTURIAS,N,03 - UNIVERSITARIO,V,6,107565.45
ES,AVILA,B,02 - PARTICULARES,H,4,108698.04
ES,AVILA,N,01 - TOP,H,0,54129.48
ES,AVILA,N,01 - TOP,H,3,79455.72
ES,AVILA,N,01 - TOP,H,4,77520.21
ES,AVILA,N,01 - TOP,H,5,64817.16
ES,AVILA,N,01 - TOP,H,6,83924.73
ES,AVILA,N,01 - TOP,V,2,61396.98
ES,AVILA,N,01 - TOP,V,3,85729.77
ES,AVILA,N,01 - TOP,V,4,77139.27
ES,AVILA,N,01 - TOP,V,5,83401.29
ES,AVILA,N,01 - TOP,V,6,112536.99
ES,AVILA,N,02 - PARTICULARES,H,0,58051.83
ES,AVILA,N,02 - PARTICULARES,H,1,84348.33
ES,AVILA,N,02 - PARTICULARES,H,2,51761.04
ES,AVILA,N,02 - PARTICULARES,H,3,63602.94
ES,AVILA,N,02 - PARTICULARES,H,4,70224.69
ES,AVILA,N,02 - PARTICULARES,H,5,61506.69
ES,AVILA,N,02 - PARTICULARES,H,6,65644.59
ES,AVILA,N,02 - PARTICULARES,V,0,63701.385
ES,AVILA,N,02 - PARTICULARES,V,1,78258.18
ES,AVILA,N,02 - PARTICULARES,V,2,68954.52
ES,AVILA,N,02 - PARTICULARES,V,3,67608.57
ES,AVILA,N,02 - PARTICULARES,V,4,69269.25
ES,AVILA,N,02 - PARTICULARES,V,5,73937.7
ES,AVILA,N,02 - PARTICULARES,V,6,64249.83
ES,AVILA,N,03 - UNIVERSITARIO,H,0,66790.68
ES,AVILA,N,03 - UNIVERSITARIO,H,1,63786.27
ES,AVILA,N,03 - UNIVERSITARIO,H,2,73499.19
ES,AVILA,N,03 - UNIVERSITARIO,H,3,89621.52
ES,AVILA,N,03 - UNIVERSITARIO,H,4,66372.21
ES,AVILA,N,03 - UNIVERSITARIO,V,0,70238.25
ES,AVILA,N,03 - UNIVERSITARIO,V,1,67793.67
ES,AVILA,N,03 - UNIVERSITARIO,V,2,60217.44
ES,AVILA,N,03 - UNIVERSITARIO,V,3,63872.595
ES,AVILA,N,03 - UNIVERSITARIO,V,4,69966.36
ES,BADAJOZ,N,01 - TOP,H,2,116430.72
ES,BADAJOZ,N,01 - TOP,H,3,125830.95
ES,BADAJOZ,N,01 - TOP,H,4,86766.54
ES,BADAJOZ,N,01 - TOP,H,5,86766.54
ES,BADAJOZ,N,01 - TOP,H,6,80729.4
ES,BADAJOZ,N,01 - TOP,V,1,47397.12
ES,BADAJOZ,N,01 - TOP,V,3,91545.36
ES,BADAJOZ,N,01 - TOP,V,4,82479.36
ES,BADAJOZ,N,01 - TOP,V,5,97056.75
ES,BADAJOZ,N,01 - TOP,V,6,98364.96
ES,BADAJOZ,N,02 - PARTICULARES,H,0,70920.09
ES,BADAJOZ,N,02 - PARTICULARES,H,1,73110.12
ES,BADAJOZ,N,02 - PARTICULARES,H,2,69353.4
ES,BADAJOZ,N,02 - PARTICULARES,H,3,66277.965
ES,BADAJOZ,N,02 - PARTICULARES,H,4,72897.78
ES,BADAJOZ,N,02 - PARTICULARES,H,5,73110.12
ES,BADAJOZ,N,02 - PARTICULARES,H,6,76100.55
ES,BADAJOZ,N,02 - PARTICULARES,V,0,63737.775
ES,BADAJOZ,N,02 - PARTICULARES,V,1,61607.49
ES,BADAJOZ,N,02 - PARTICULARES,V,2,65397.12
ES,BADAJOZ,N,02 - PARTICULARES,V,3,64766.22
ES,BADAJOZ,N,02 - PARTICULARES,V,4,70779.78
ES,BADAJOZ,N,02 - PARTICULARES,V,5,74374.8
ES,BADAJOZ,N,02 - PARTICULARES,V,6,78906.57
ES,BADAJOZ,N,03 - UNIVERSITARIO,H,0,58295.1
ES,BADAJOZ,N,03 - UNIVERSITARIO,H,1,56420.85
ES,BADAJOZ,N,03 - UNIVERSITARIO,H,2,57376.02
ES,BADAJOZ,N,03 - UNIVERSITARIO,H,3,70895.58
ES,BADAJOZ,N,03 - UNIVERSITARIO,H,4,57259.65
ES,BADAJOZ,N,03 - UNIVERSITARIO,H,5,207561.03
ES,BADAJOZ,N,03 - UNIVERSITARIO,V,0,63418.785
ES,BADAJOZ,N,03 - UNIVERSITARIO,V,1,60102.51
ES,BADAJOZ,N,03 - UNIVERSITARIO,V,2,58117.74
ES,BADAJOZ,N,03 - UNIVERSITARIO,V,3,64681.02
ES,BADAJOZ,N,03 - UNIVERSITARIO,V,4,60950.73
ES,BADAJOZ,N,03 - UNIVERSITARIO,V,5,99354.36
ES,"BALEARS, ILLES",N,01 - TOP,H,0,212240.58
ES,"BALEARS, ILLES",N,01 - TOP,H,1,74710.2
ES,"BALEARS, ILLES",N,01 - TOP,H,3,238043.22
ES,"BALEARS, ILLES",N,01 - TOP,H,4,175274.64
ES,"BALEARS, ILLES",N,01 - TOP,H,5,163887.705
ES,"BALEARS, ILLES",N,01 - TOP,H,6,168480.99
ES,"BALEARS, ILLES",N,01 - TOP,V,2,352299.84
ES,"BALEARS, ILLES",N,01 - TOP,V,3,114665.7
ES,"BALEARS, ILLES",N,01 - TOP,V,4,199118.46
ES,"BALEARS, ILLES",N,01 - TOP,V,5,210047.25
ES,"BALEARS, ILLES",N,01 - TOP,V,6,234092.88
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,0,113677.32
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,1,104223.51
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,2,105980.67
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,3,105427.98
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,4,117946.68
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,5,126233.73
ES,"BALEARS, ILLES",N,02 - PARTICULARES,H,6,149565.6
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,0,111372.225
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,1,102854.67
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,2,101928.48
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,3,109051.98
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,4,119212.71
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,5,125665.29
ES,"BALEARS, ILLES",N,02 - PARTICULARES,V,6,138110.13
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,H,0,128026.305
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,H,1,135261.51
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,H,2,112196.31
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,H,3,112916.07
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,H,4,128480.91
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,V,0,129948.69
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,V,1,130501.515
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,V,2,116657.43
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,V,3,100201.08
ES,"BALEARS, ILLES",N,03 - UNIVERSITARIO,V,4,127925.67
ES,BARCELONA,A,01 - TOP,V,4,91219.11
ES,BARCELONA,A,01 - TOP,V,5,91219.11
ES,BARCELONA,A,02 - PARTICULARES,V,4,187607.79
ES,BARCELONA,A,02 - PARTICULARES,V,5,146008.65
ES,BARCELONA,A,02 - PARTICULARES,V,6,229206.93
ES,BARCELONA,B,01 - TOP,V,4,91531.29
ES,BARCELONA,B,01 - TOP,V,5,151560.81
ES,BARCELONA,B,02 - PARTICULARES,V,4,158132.22
ES,BARCELONA,B,02 - PARTICULARES,V,5,236748.21
ES,BARCELONA,N,01 - TOP,H,0,298955.535
ES,BARCELONA,N,01 - TOP,H,1,165207.3
ES,BARCELONA,N,01 - TOP,H,2,69808.44
ES,BARCELONA,N,01 - TOP,H,3,149880.63
ES,BARCELONA,N,01 - TOP,H,4,163617.3
ES,BARCELONA,N,01 - TOP,H,5,161469.96
ES,BARCELONA,N,01 - TOP,H,6,173011.17
ES,BARCELONA,N,01 - TOP,V,0,506723.25
ES,BARCELONA,N,01 - TOP,V,1,111031.32
ES,BARCELONA,N,01 - TOP,V,2,102997.245
ES,BARCELONA,N,01 - TOP,V,3,137927.94
ES,BARCELONA,N,01 - TOP,V,4,152942.91
ES,BARCELONA,N,01 - TOP,V,5,167089.17
ES,BARCELONA,N,01 - TOP,V,6,164417.97
ES,BARCELONA,N,02 - PARTICULARES,H,0,128089.92
ES,BARCELONA,N,02 - PARTICULARES,H,1,127841.88
ES,BARCELONA,N,02 - PARTICULARES,H,2,112239.6
ES,BARCELONA,N,02 - PARTICULARES,H,3,113904.54
ES,BARCELONA,N,02 - PARTICULARES,H,4,127873.53
ES,BARCELONA,N,02 - PARTICULARES,H,5,142208.43
ES,BARCELONA,N,02 - PARTICULARES,H,6,145379.79
ES,BARCELONA,N,02 - PARTICULARES,V,0,135186.15
ES,BARCELONA,N,02 - PARTICULARES,V,1,119025.24
ES,BARCELONA,N,02 - PARTICULARES,V,2,114479.91
ES,BARCELONA,N,02 - PARTICULARES,V,3,115819.35
ES,BARCELONA,N,02 - PARTICULARES,V,4,127245.06
ES,BARCELONA,N,02 - PARTICULARES,V,5,137723.79
ES,BARCELONA,N,02 - PARTICULARES,V,6,146918.25
ES,BARCELONA,N,03 - UNIVERSITARIO,H,0,132410.91
ES,BARCELONA,N,03 - UNIVERSITARIO,H,1,128865.24
ES,BARCELONA,N,03 - UNIVERSITARIO,H,2,121644.63
ES,BARCELONA,N,03 - UNIVERSITARIO,H,3,118477.32
ES,BARCELONA,N,03 - UNIVERSITARIO,H,4,128123.88
ES,BARCELONA,N,03 - UNIVERSITARIO,H,5,187531.47
ES,BARCELONA,N,03 - UNIVERSITARIO,H,6,259179.42
ES,BARCELONA,N,03 - UNIVERSITARIO,V,0,136421.97
ES,BARCELONA,N,03 - UNIVERSITARIO,V,1,134123.07
ES,BARCELONA,N,03 - UNIVERSITARIO,V,2,123583.77
ES,BARCELONA,N,03 - UNIVERSITARIO,V,3,125458.53
ES,BARCELONA,N,03 - UNIVERSITARIO,V,4,132918.54
ES,BARCELONA,N,03 - UNIVERSITARIO,V,5,178181.37
ES,BARCELONA,N,03 - UNIVERSITARIO,V,6,238695.48
ES,BIZKAIA,N,01 - TOP,V,3,314612.49
ES,BIZKAIA,N,01 - TOP,V,4,113105.835
ES,BIZKAIA,N,02 - PARTICULARES,H,2,39975.96
ES,BIZKAIA,N,02 - PARTICULARES,H,3,76570.65
ES,BIZKAIA,N,02 - PARTICULARES,H,4,97093.23
ES,BIZKAIA,N,02 - PARTICULARES,H,6,128379.33
ES,BIZKAIA,N,02 - PARTICULARES,V,2,92961.33
ES,BIZKAIA,N,02 - PARTICULARES,V,3,119315.31
ES,BIZKAIA,N,02 - PARTICULARES,V,4,99719.49
ES,BIZKAIA,N,02 - PARTICULARES,V,6,148605.0
ES,BIZKAIA,N,03 - UNIVERSITARIO,H,2,93016.02
ES,BIZKAIA,N,03 - UNIVERSITARIO,V,2,108659.43
ES,BURGOS,N,01 - TOP,H,0,103818.54
ES,BURGOS,N,01 - TOP,H,3,102778.53
ES,BURGOS,N,01 - TOP,H,4,102778.53
ES,BURGOS,N,01 - TOP,H,5,112793.73
ES,BURGOS,N,01 - TOP,H,6,121206.42
ES,BURGOS,N,01 - TOP,V,2,66315.72
ES,BURGOS,N,01 - TOP,V,3,106042.17
ES,BURGOS,N,01 - TOP,V,4,92254.32
ES,BURGOS,N,01 - TOP,V,5,102946.74
ES,BURGOS,N,01 - TOP,V,6,93224.52
ES,BURGOS,N,02 - PARTICULARES,H,0,94897.35
ES,BURGOS,N,02 - PARTICULARES,H,1,90833.25
ES,BURGOS,N,02 - PARTICULARES,H,2,77638.92
ES,BURGOS,N,02 - PARTICULARES,H,3,82057.59
ES,BURGOS,N,02 - PARTICULARES,H,4,87597.87
ES,BURGOS,N,02 - PARTICULARES,H,5,91750.92
ES,BURGOS,N,02 - PARTICULARES,H,6,93432.78
ES,BURGOS,N,02 - PARTICULARES,V,0,95493.78
ES,BURGOS,N,02 - PARTICULARES,V,1,89046.99
ES,BURGOS,N,02 - PARTICULARES,V,2,79495.83
ES,BURGOS,N,02 - PARTICULARES,V,3,83539.68
ES,BURGOS,N,02 - PARTICULARES,V,4,90405.84
ES,BURGOS,N,02 - PARTICULARES,V,5,97203.12
ES,BURGOS,N,02 - PARTICULARES,V,6,98670.57
ES,BURGOS,N,03 - UNIVERSITARIO,H,0,93867.66
ES,BURGOS,N,03 - UNIVERSITARIO,H,1,81944.19
ES,BURGOS,N,03 - UNIVERSITARIO,H,2,74681.19
ES,BURGOS,N,03 - UNIVERSITARIO,H,3,90919.23
ES,BURGOS,N,03 - UNIVERSITARIO,H,4,85194.765
ES,BURGOS,N,03 - UNIVERSITARIO,H,5,80128.14
ES,BURGOS,N,03 - UNIVERSITARIO,V,0,87227.46
ES,BURGOS,N,03 - UNIVERSITARIO,V,1,94741.74
ES,BURGOS,N,03 - UNIVERSITARIO,V,2,96402.3
